0, 171, 4580, 3130
90, 75, 2383, 2303 
180, 89, 3066, 4580 
270, 350, 2146, 1567 
360, 132, 3095, 2811 
450, 76, 3012, 3547 
540, 75, 3012, 1625 
630, 355, 3929, 2811 
720, 253, 2948, 4539 
810, 137, 2755, 2342 
900, 167, 2755, 2303 
990, 187, 3958, 1968 
1080, 220, 3297, 4580 
1170, 151, 4150, 1089 
1260, 372, 3544, 2811 
1350, 35, 1538, 1307 
1440, 390, 2146, 3012 
1530, 372, 3130, 2561 
1620, 258, 1307, 2342 
1710, 98, 2948, 2303 
1800, 387, 2895, 2941 
1980, 75, 1089, 2096 
1890, 258, 1625, 2146 
2160, 118, 1307, 2941 
2520, 236, 3903, 1625 
2340, 39, 3095, 3095 
2430, 264, 2342, 1625 
2250, 140, 2948, 2389 
2700, 306, 2895, 3297 
2790, 42, 4580, 3929 
2610, 210, 2217, 1968 
2880, 287, 1089, 2146 
3060, 46, 2070, 2811 
2070, 51, 2941, 1824 
2970, 310, 2303, 3130 
3240, 281, 2217, 1968 
3150, 193, 1968, 1824 
3510, 322, 2682, 3112 
3600, 102, 2383, 4580 
3330, 193, 4580, 1538 
3420, 233, 3929, 2389 
3960, 121, 3112, 2682 
3690, 261, 1968, 3958 
3870, 261, 1824, 3544 
3780, 68, 3112, 4580 
4230, 344, 1307, 2070 
4140, 75, 1538, 2303 
4050, 311, 4580, 2561 
4500, 344, 2941, 3544 
4410, 91, 2254, 2755 
4320, 195, 1699, 2682 
4770, 60, 4580, 1699 
4590, 242, 2342, 3012 
4680, 34, 2070, 1968 
4860, 241, 2070, 3066 
5130, 185, 2389, 3958 
4950, 148, 2682, 4580 
5040, 217, 1089, 3066 
5310, 248, 1968, 2811 
5490, 292, 4539, 2561 
5580, 285, 3903, 3066 
5400, 382, 1699, 2941 
5220, 222, 2303, 2146 
5760, 259, 2342, 3544 
5850, 175, 3066, 4150 
6030, 208, 2895, 2096 
5670, 328, 3095, 2254 
5940, 278, 3095, 3012 
6210, 308, 2383, 3958 
6300, 177, 2342, 2254 
6480, 226, 2070, 3547 
6570, 309, 3130, 2303 
6660, 398, 2755, 3066 
6390, 245, 2561, 1824 
6120, 354, 3130, 2383 
6750, 53, 3544, 2811 
6930, 294, 2401, 2070 
7110, 77, 3958, 3958 
6840, 375, 2682, 3095 
7290, 115, 1968, 3544 
7200, 166, 3903, 1699 
7470, 47, 2217, 2811 
7020, 241, 1968, 2146 
7380, 382, 3095, 2682 
7650, 166, 2146, 2811 
7560, 221, 2217, 3958 
7740, 280, 1089, 2146 
7830, 268, 3130, 2342 
8100, 328, 2401, 1699 
8010, 287, 2254, 1699 
8190, 380, 1538, 3095 
8280, 320, 3112, 2561 
8460, 189, 3066, 2303 
7920, 147, 4580, 3112 
8640, 292, 2755, 1968 
8370, 320, 3012, 3297 
8820, 100, 1968, 1699 
8730, 107, 2342, 1538 
9000, 245, 2811, 3130 
8910, 165, 2070, 1538 
9090, 297, 3095, 2096 
9270, 114, 1625, 2389 
9180, 317, 4150, 2755 
9450, 144, 3112, 2755 
9360, 184, 2948, 4580 
8550, 387, 2342, 3012 
9630, 142, 2096, 1089 
9720, 230, 2383, 2389 
9810, 311, 3130, 2146 
9540, 296, 1089, 1625 
9990, 127, 2401, 3297 
10080, 230, 1307, 1625 
10170, 32, 2254, 3297 
9900, 305, 1699, 2426 
10350, 116, 3297, 1538 
10530, 38, 3903, 1625 
10440, 260, 3130, 2070 
10260, 51, 4539, 2426 
10620, 88, 3958, 3929 
10710, 116, 1089, 2254 
10800, 236, 2383, 2401 
10980, 141, 2389, 3066 
10890, 169, 3095, 1968 
11160, 365, 1307, 2426 
11340, 354, 2070, 3547 
11070, 126, 2811, 3958 
11250, 297, 2389, 1089 
11520, 374, 2303, 1089 
11700, 147, 3929, 3903 
11610, 311, 3130, 2254 
11790, 285, 2561, 2303 
11430, 182, 3066, 2096 
12060, 161, 4539, 4539 
11970, 173, 2146, 2254 
11880, 325, 2217, 3112 
12240, 239, 3958, 3547 
12510, 216, 3066, 1824 
12330, 338, 2401, 4539 
12150, 391, 3903, 3544 
12600, 208, 3095, 2217 
12870, 124, 3297, 2948 
12690, 87, 1089, 2254 
12420, 75, 1307, 2895 
12780, 176, 2811, 4539 
12960, 149, 2948, 3958 
13050, 333, 2755, 2682 
13320, 344, 2070, 3130 
13410, 65, 1968, 4150 
13140, 126, 3929, 2303 
13590, 348, 2401, 2303 
13500, 205, 1699, 4580 
13770, 345, 3903, 3012 
13230, 359, 2948, 3547 
13680, 205, 2895, 2895 
14040, 386, 3130, 2948 
14130, 293, 2303, 2811 
13950, 134, 2254, 2401 
13860, 146, 2096, 2303 
14310, 210, 3130, 1538 
14220, 377, 3095, 3958 
14490, 325, 2948, 4150 
14580, 82, 1625, 1699 
14400, 319, 2941, 1538 
14760, 367, 2342, 4150 
14850, 110, 4150, 3929 
15030, 37, 3012, 2426 
14940, 132, 3544, 3297 
15210, 220, 2254, 3130 
15300, 182, 3066, 2303 
15120, 50, 4150, 3095 
15390, 136, 2254, 2561 
14670, 52, 3066, 1538 
15480, 368, 4539, 2401 
15750, 268, 1307, 1625 
15660, 356, 1089, 1824 
15840, 394, 3958, 3095 
15930, 306, 2755, 2383 
15570, 331, 2254, 2146 
16110, 369, 1625, 1567 
16020, 365, 2070, 2383 
16200, 151, 3130, 2895 
16380, 274, 2217, 3066 
16470, 91, 1699, 3297 
16290, 302, 3929, 2895 
16740, 214, 2342, 2383 
16560, 268, 3297, 2383 
16830, 153, 3130, 3547 
16650, 39, 2755, 2217 
16920, 370, 1625, 2254 
17010, 155, 1307, 2383 
17100, 384, 2426, 2146 
17190, 198, 1699, 2682 
17370, 61, 2811, 3547 
17460, 334, 1824, 3544 
17550, 274, 3066, 3066 
17280, 54, 2342, 3066 
17730, 196, 1567, 2682 
17820, 232, 2811, 1824 
18000, 204, 4150, 3130 
17640, 75, 3544, 2948 
18090, 126, 3112, 2941 
18270, 367, 3130, 3012 
17910, 341, 2303, 1699 
18360, 195, 2383, 1567 
18450, 349, 3297, 2096 
18630, 344, 2401, 2096 
18540, 362, 1699, 2303 
18720, 343, 3112, 2426 
18180, 363, 3547, 2096 
18810, 121, 2383, 3112 
19080, 150, 2096, 2383 
18900, 225, 2303, 2811 
19260, 366, 2342, 2426 
19170, 146, 1699, 3130 
19350, 134, 3544, 2941 
18990, 322, 1625, 2342 
19440, 145, 2895, 2383 
19620, 241, 3095, 2811 
19710, 105, 1089, 4580 
19890, 171, 3544, 1699 
19800, 327, 3112, 1824 
19530, 39, 3130, 3066 
19980, 326, 2682, 3903 
20250, 313, 1625, 2070 
20070, 95, 3903, 3297 
20160, 236, 2146, 1089 
20520, 133, 3929, 3903 
20430, 69, 1567, 2682 
20340, 35, 3130, 3012 
20610, 142, 3297, 3544 
20880, 201, 1089, 3012 
20790, 82, 1567, 2401 
20700, 34, 2254, 2561 
20970, 372, 2383, 2811 
21150, 243, 2096, 2948 
21060, 265, 2426, 2755 
21420, 304, 2146, 3066 
21240, 56, 1699, 1567 
21330, 274, 2217, 2682 
21510, 78, 1307, 1538 
21600, 186, 3544, 2070 
21780, 101, 2755, 2811 
21690, 237, 1307, 3130 
21960, 294, 2342, 1968 
21870, 314, 2217, 2096 
22050, 53, 3297, 3297 
22140, 123, 3130, 3929 
22410, 55, 3095, 3544 
22230, 371, 1307, 2401 
22500, 176, 1824, 3130 
